Country Name,Country Code,Year,average_value_CO2 emissions (kt)
Cabo Verde,CPV,2001,250
Caribbean small states,CSS,2001,34220
Cayman Islands,CYM,1965,11.001
Djibouti,DJI,1978,201.685
Djibouti,DJI,2006,430
East Asia & Pacific (excluding high income),EAP,1990,2671323.18581045
East Asia & Pacific (excluding high income),EAP,1995,3745146.39711214
Early-demographic dividend,EAR,1974,1428425.28469795
Europe & Central Asia (excluding high income),ECA,1999,2540132.9584723
Ecuador,ECU,1964,2145.195
France,FRA,2014,304530
United Kingdom,GBR,1981,560819.979
Heavily indebted poor countries (HIPC),HPC,1971,46155.2529199849
India,IND,1980,314016.211
"Iran, Islamic Rep.",IRN,2019,
Iraq,IRQ,1988,67927.508
Israel,ISR,1960,6468.588
Kazakhstan,KAZ,2003,136300
Kenya,KEN,1989,5192.472
Libya,LBY,1994,35910
Least developed countries: UN classification,LDC,2014,277684.823890682
Low income,LIC,1979,164013.839648868
Sri Lanka,LKA,2008,12810
Malta,MLT,2013,2370
Mongolia,MNG,1993,11850
Mongolia,MNG,1996,8690
Mauritius,MUS,1972,689.396
Malaysia,MYS,2003,143810
North America,NAC,2014,5666856.25164582
Nicaragua,NIC,1964,949.753
New Zealand,NZL,1993,23910
Romania,ROU,1997,113420
Saudi Arabia,SAU,1961,3571.658
Solomon Islands,SLB,2002,260
San Marino,SMR,1963,
South Sudan,SSD,2020,
Sao Tome and Principe,STP,1979,33.003
Slovenia,SVN,1984,
Slovenia,SVN,1997,15730
Eswatini,SWZ,1990,950
Eswatini,SWZ,1995,1000
Sint Maarten (Dutch part),SXM,2008,
Syrian Arab Republic,SYR,1980,20802.891
Turks and Caicos Islands,TCA,2004,
Togo,TGO,2017,2070
South Asia (IDA & IBRD),TSA,1975,285677.635
Turkey,TUR,1981,79874.594
British Virgin Islands,VGB,2004,
Samoa,WSM,1978,106.343
South Africa,ZAF,2018,433250
Africa Eastern and Southern,AFE,2012,559333.857277447
Austria,AUT,2008,70730
Bahrain,BHR,2000,15880
Bahrain,BHR,2006,22500
Bosnia and Herzegovina,BIH,2018,22540
Brazil,BRA,1962,53695.881
Brazil,BRA,2004,326760
Bhutan,BTN,1975,3.667
Central Europe and the Baltics,CEB,2009,683460
Central Europe and the Baltics,CEB,2019,
Switzerland,CHE,2015,39030
Channel Islands,CHI,2014,
China,CHN,1968,468928.626
Colombia,COL,1984,48980.119
Comoros,COM,1988,51.338
Cabo Verde,CPV,1969,36.67
Curacao,CUW,2012,
Dominica,DMA,1987,47.671
Denmark,DNK,1982,53695.881
Algeria,DZA,1971,18668.697
Early-demographic dividend,EAR,2019,
Europe & Central Asia (excluding high income),ECA,1982,6094576.66052254
Europe & Central Asia,ECS,1963,5654244.16615865
Euro area,EMU,1986,
Eritrea,ERI,1989,
Spain,ESP,1999,278310
Spain,ESP,2011,274400
Ethiopia,ETH,1969,1668.485
Finland,FIN,2000,55100
Ghana,GHA,1965,1705.155
Equatorial Guinea,GNQ,1962,22.002
"Hong Kong SAR, China",HKG,1970,8401.097
IBRD only,IBD,2007,15353190
IBRD only,IBD,2008,15854650
Indonesia,IDN,1986,121740.733
Isle of Man,IMN,1999,
Ireland,IRL,1993,31720
Iceland,ISL,1974,1741.825
Jordan,JOR,2014,25590
Japan,JPN,1968,562565.471
Kenya,KEN,2012,12130
Kyrgyz Republic,KGZ,1965,
Kyrgyz Republic,KGZ,1973,
Latin America & Caribbean (excluding high income),LAC,1995,854470
Liberia,LBR,1981,1939.843
Latin America & Caribbean,LCN,1991,924182.417785927
Least developed countries: UN classification,LDC,1996,87501.3930904292
St. Martin (French part),MAF,2019,
Moldova,MDA,1975,
Moldova,MDA,1979,
Maldives,MDV,1968,
Maldives,MDV,1994,200
Marshall Islands,MHL,1966,
Myanmar,MMR,1985,6710.61
Middle East & North Africa (excluding high income),MNA,1983,405972.051890512
Northern Mariana Islands,MNP,2015,
Mauritania,MRT,2004,1410
North America,NAC,1962,3195470.02795975
North America,NAC,2015,5543983.21017687
Niger,NER,2004,790
Netherlands,NLD,1990,148350
Nepal,NPL,1965,179.683
Pacific island small states,PSS,1972,1130.74182745247
Qatar,QAT,2015,83310
Sierra Leone,SLE,1997,230
Serbia,SRB,1969,
Sao Tome and Principe,STP,1992,40
Sweden,SWE,1992,56750
Sint Maarten (Dutch part),SXM,2002,
East Asia & Pacific (IDA & IBRD countries),TEA,1996,3692926.47742095
Turkmenistan,TKM,1991,37790
Turkmenistan,TKM,2009,50380
South Asia (IDA & IBRD),TSA,1971,257320.724
Tuvalu,TUV,1984,
United States,USA,2005,5756080
"Venezuela, RB",VEN,2008,163490
"Venezuela, RB",VEN,2019,
Vietnam,VNM,1992,19310
"Yemen, Rep.",YEM,1974,370.367
Zimbabwe,ZWE,2014,12150
Armenia,ARM,2009,4510
Antigua and Barbuda,ATG,1961,47.671
Burkina Faso,BFA,1982,575.719
Bulgaria,BGR,2011,49670
Bosnia and Herzegovina,BIH,1997,8490
Botswana,BWA,1992,3300
Canada,CAN,2010,535030
Switzerland,CHE,1981,38859.199
Cameroon,CMR,1993,6660
Colombia,COL,1992,53210
Cabo Verde,CPV,2020,
Cuba,CUB,2016,28450
Cyprus,CYP,2005,7870
Cyprus,CYP,2007,8240
Early-demographic dividend,EAR,1979,1886542.66134338
Spain,ESP,2013,242800
Ethiopia,ETH,1973,1752.826
"Micronesia, Fed. Sts.",FSM,2003,160
"Micronesia, Fed. Sts.",FSM,2004,160
Ghana,GHA,1990,2790
Greece,GRC,1962,10164.924
Guatemala,GTM,1992,4830
"Hong Kong SAR, China",HKG,2007,
Honduras,HND,1971,1331.121
IDA only,IDX,1963,63566.4126928714
Israel,ISR,1991,34520
Kazakhstan,KAZ,1962,
Kazakhstan,KAZ,2020,
"Korea, Rep.",KOR,1966,30014.395
"Korea, Rep.",KOR,1989,235846.772
Kuwait,KWT,1998,39890
Kuwait,KWT,2003,55630
Latin America & Caribbean (excluding high income),LAC,1985,727023.087
Latin America & Caribbean (excluding high income),LAC,2020,
Lao PDR,LAO,1989,231.021
Libya,LBY,1998,39900
St. Lucia,LCA,2007,320
Liechtenstein,LIE,2018,140
Luxembourg,LUX,1987,8668.788
Latvia,LVA,2011,7900
Monaco,MCO,1965,
Maldives,MDV,2016,1750
Middle East & North Africa,MEA,2004,1544912.75274874
Marshall Islands,MHL,1986,
North Macedonia,MKD,2019,
Mali,MLI,1970,201.685
Malta,MLT,2000,2130
Malta,MLT,2010,2580
Mauritania,MRT,1968,234.688
North America,NAC,1977,5152380.97608025
North America,NAC,1983,4752383.25914702
New Caledonia,NCL,1998,
Nigeria,NGA,2002,86110
Nigeria,NGA,2006,92200
OECD members,OED,1967,7813581.90648153
OECD members,OED,1982,10389282.659021
Oman,OMN,1965,25.669
Oman,OMN,1986,9875.231
Oman,OMN,1988,10586.629
Pakistan,PAK,1976,22838.076
Panama,PAN,2005,7120
Puerto Rico,PRI,2014,
Portugal,PRT,1999,62210
Portugal,PRT,2005,65470
West Bank and Gaza,PSE,1970,
Post-demographic dividend,PST,1982,10312888.0971921
French Polynesia,PYF,2000,
Qatar,QAT,1971,9152.832
Romania,ROU,2001,94110
South Asia,SAS,1993,747010
South Asia,SAS,2010,1884320
Sudan,SDN,1969,4184.047
Solomon Islands,SLB,2015,310
Sierra Leone,SLE,1975,524.381
Sub-Saharan Africa (excluding high income),SSA,2015,777470.231840796
Sao Tome and Principe,STP,2011,100
Sao Tome and Principe,STP,2012,120
Suriname,SUR,2008,1460
Suriname,SUR,2013,2290
Sint Maarten (Dutch part),SXM,1978,
Thailand,THA,1991,97670
Tajikistan,TJK,1961,
Turkmenistan,TKM,1963,
Turkmenistan,TKM,1979,
Middle East & North Africa (IDA & IBRD countries),TMN,2020,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1988,506944.892968815
Uruguay,URY,1990,3850
United States,USA,1983,4341878.347
Uzbekistan,UZB,1970,
South Africa,ZAF,2001,320600
Zambia,ZMB,1996,1760
Zimbabwe,ZWE,2006,9830
Africa Eastern and Southern,AFE,1988,404605.677834358
Africa Eastern and Southern,AFE,2011,535604.357505138
Africa Western and Central,AFW,2014,198440
Arab World,ARB,2008,1385236.68921583
Armenia,ARM,1978,
Australia,AUS,1981,230360.94
Azerbaijan,AZE,1961,
Burundi,BDI,1986,234.688
Bulgaria,BGR,1967,55166.348
Belarus,BLR,1992,87780
Brunei Darussalam,BRN,2011,7010
Canada,CAN,1984,425595.687
Colombia,COL,1971,30326.09
Denmark,DNK,1990,52080
Eritrea,ERI,2014,680
France,FRA,2020,
Faroe Islands,FRO,2005,
Ghana,GHA,2012,14220
Guinea,GIN,1979,946.086
Guam,GUM,1962,
Hungary,HUN,2007,53860
IBRD only,IBD,1961,3522356.98708762
IDA & IBRD total,IBT,1991,9491934.77250054
Ireland,IRL,1970,19413.098
Israel,ISR,1978,21176.925
Israel,ISR,1987,27385.156
Jamaica,JAM,1974,7601.691
Jamaica,JAM,1994,8380
Kyrgyz Republic,KGZ,2019,
St. Kitts and Nevis,KNA,1960,11.001
Latin America & Caribbean (excluding high income),LAC,1970,384888.32
Lao PDR,LAO,2003,1150
Lebanon,LBN,2005,17280
Lesotho,LSO,1979,
Mexico,MEX,1991,286100
Marshall Islands,MHL,1976,
North Macedonia,MKD,2004,8920
Montenegro,MNE,1968,
Mozambique,MOZ,1974,3149.953
Mauritania,MRT,1988,3230.627
Malaysia,MYS,1985,36237.294
Norway,NOR,2019,
Nauru,NRU,1967,47.671
OECD members,OED,2013,12321670
Oman,OMN,2018,73370
Peru,PER,1960,8173.743
Puerto Rico,PRI,1966,
Post-demographic dividend,PST,2005,12509502.188765
Rwanda,RWA,1999,500
Senegal,SEN,2007,6200
Singapore,SGP,1976,30036.397
Singapore,SGP,1991,31290
El Salvador,SLV,2004,6680
Sub-Saharan Africa (excluding high income),SSA,2002,541321.902985079
South Sudan,SSD,1980,
South Sudan,SSD,2003,0
Small states,SST,1986,108299.742308117
Slovak Republic,SVK,2013,32940
Sweden,SWE,1984,57333.545
Tajikistan,TJK,1960,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1966,350821.89
Timor-Leste,TLS,2013,460
Tonga,TON,1989,69.673
South Asia (IDA & IBRD),TSA,2016,2479230
Sub-Saharan Africa (IDA & IBRD countries),TSS,2013,771046.219406582
Trinidad and Tobago,TTO,1972,8243.416
Trinidad and Tobago,TTO,1978,15328.06
Tuvalu,TUV,1961,
Tanzania,TZA,1987,2390.884
Ukraine,UKR,2003,330230
Upper middle income,UMC,2020,
Uruguay,URY,1963,4319.726
"Venezuela, RB",VEN,1980,90802.254
South Africa,ZAF,1975,185201.835
Zimbabwe,ZWE,2016,10990
Africa Western and Central,AFW,1971,48301.724
Angola,AGO,1988,5130.133
Angola,AGO,1989,5009.122
Austria,AUT,1998,64670
Burkina Faso,BFA,2011,2200
Bangladesh,BGD,1993,12570
"Bahamas, The",BHS,1977,9717.55
Bosnia and Herzegovina,BIH,1986,
Belarus,BLR,2019,
Barbados,BRB,1984,748.068
Bhutan,BTN,1984,51.338
Central African Republic,CAF,1980,106.343
Channel Islands,CHI,2009,
China,CHN,1960,780726.302
Comoros,COM,1993,70
Comoros,COM,1998,90
Caribbean small states,CSS,2006,42900
Czech Republic,CZE,2005,120000
Czech Republic,CZE,2013,102720
Djibouti,DJI,1963,66.006
Djibouti,DJI,1989,388.702
Dominica,DMA,1972,25.669
Dominican Republic,DOM,1964,1749.159
Dominican Republic,DOM,1974,6417.25
Dominican Republic,DOM,2018,25120
Early-demographic dividend,EAR,1981,2052944.62310522
Europe & Central Asia,ECS,1984,10139384.2645822
Euro area,EMU,2018,2207420
Estonia,EST,1992,23780
Faroe Islands,FRO,1982,458.375
Faroe Islands,FRO,2007,
Gabon,GAB,2001,4580
Gabon,GAB,2011,5640
United Kingdom,GBR,2010,481790
Guinea,GIN,1997,1290
Guinea,GIN,2007,1980
Equatorial Guinea,GNQ,1967,25.669
Greece,GRC,1985,60600.842
Greenland,GRL,1965,344.698
Haiti,HTI,1997,1270
IBRD only,IBD,2016,19902630
IDA only,IDX,1981,126174.749396093
Iraq,IRQ,1984,40204.988
Israel,ISR,1989,31756.22
Jordan,JOR,2015,25360
Japan,JPN,2012,1252220
Japan,JPN,2013,1260900
Kuwait,KWT,1979,17667.606
Kuwait,KWT,2000,47170
Lebanon,LBN,1974,7231.324
St. Lucia,LCA,1996,320
Low income,LIC,1970,105486.016420539
Low income,LIC,2004,176943.310304505
Low & middle income,LMY,1982,9254252.7964937
Lesotho,LSO,2014,2310
Late-demographic dividend,LTE,1974,5432414.38497753
St. Martin (French part),MAF,1962,
St. Martin (French part),MAF,1964,
Moldova,MDA,1968,
Moldova,MDA,1985,
Middle income,MIC,2008,15824545.9942268
North Macedonia,MKD,1989,
North Macedonia,MKD,2012,9130
Mali,MLI,1964,176.016
Malta,MLT,2018,1550
Middle East & North Africa (excluding high income),MNA,1969,196844.778950068
Montenegro,MNE,2001,0
Mongolia,MNG,1966,1954.511
Northern Mariana Islands,MNP,1994,
Malawi,MWI,1999,960
New Caledonia,NCL,1984,1206.443
Nigeria,NGA,1989,42441.858
Norway,NOR,2001,34780
Nepal,NPL,1974,425.372
Nauru,NRU,1991,130
OECD members,OED,2014,12094430
Panama,PAN,2017,10250
Peru,PER,1968,14502.985
Peru,PER,1983,20450.859
French Polynesia,PYF,2001,
French Polynesia,PYF,2002,
Senegal,SEN,1993,2500
Sub-Saharan Africa,SSF,1992,411288.744043898
Slovak Republic,SVK,1977,
East Asia & Pacific (IDA & IBRD countries),TEA,1963,494042.717024316
East Asia & Pacific (IDA & IBRD countries),TEA,1983,1924033.62228375
Turkmenistan,TKM,1967,
Turkmenistan,TKM,1997,29940
Timor-Leste,TLS,2014,530
South Asia (IDA & IBRD),TSA,1992,717340
South Asia (IDA & IBRD),TSA,1994,786940
Tunisia,TUN,1963,1947.177
Tunisia,TUN,1992,15180
Tunisia,TUN,1995,17040
Uganda,UGA,1966,733.4
"Venezuela, RB",VEN,1965,60787.859
British Virgin Islands,VGB,1979,29.336
Vietnam,VNM,1979,16281.48
Vanuatu,VUT,2012,120
"Yemen, Rep.",YEM,1965,102.676
Zambia,ZMB,2011,3060
Africa Eastern and Southern,AFE,1989,401747.947890452
Afghanistan,AFG,1997,1100
Africa Western and Central,AFW,1963,11540.049
Arab World,ARB,1970,218963.053230178
United Arab Emirates,ARE,1996,75810
Argentina,ARG,2005,146320
Armenia,ARM,1962,
American Samoa,ASM,2018,
Azerbaijan,AZE,2014,32630
Burundi,BDI,1980,146.68
Belgium,BEL,1993,110110
Burkina Faso,BFA,2006,1400
Belarus,BLR,1964,
Belize,BLZ,1963,62.339
Bermuda,BMU,2004,
Canada,CAN,1977,408151.768
Colombia,COL,1989,53233.839
Comoros,COM,1974,29.336
Czech Republic,CZE,2010,113930
Germany,DEU,1998,863140
Djibouti,DJI,1995,330
Djibouti,DJI,1996,340
Dominica,DMA,1980,36.67
Dominican Republic,DOM,1989,10366.609
Dominican Republic,DOM,2014,21320
Europe & Central Asia (excluding high income),ECA,1964,3041972.57901311
Estonia,EST,1960,
Ethiopia,ETH,1970,1653.817
Finland,FIN,2007,65100
France,FRA,2018,309960
Georgia,GEO,1968,
Georgia,GEO,1975,
Georgia,GEO,2000,4770
Georgia,GEO,2004,3370
"Gambia, The",GMB,1971,55.005
"Gambia, The",GMB,1982,161.348
Grenada,GRD,1993,150
Grenada,GRD,2002,240
IBRD only,IBD,2000,10029521.56074
IDA & IBRD total,IBT,1996,9931689.49400806
IDA & IBRD total,IBT,2004,13178924.0678635
IDA & IBRD total,IBT,2013,20501044.1792102
IDA only,IDX,1980,121202.018862878
Isle of Man,IMN,1992,
India,IND,1994,687950
Ireland,IRL,1966,15111.707
"Iran, Islamic Rep.",IRN,1980,120900.99
Israel,ISR,1979,21019.244
Kenya,KEN,1988,4789.102
Cambodia,KHM,2009,4730
Kuwait,KWT,1962,14290.299
Latin America & Caribbean (excluding high income),LAC,1986,754950.959
Lao PDR,LAO,1982,157.681
Lao PDR,LAO,2009,2540
Lebanon,LBN,1996,14120
Liberia,LBR,1975,1485.135
Liberia,LBR,2004,560
Late-demographic dividend,LTE,1995,6517442.41881625
Luxembourg,LUX,1994,10840
St. Martin (French part),MAF,1999,
St. Martin (French part),MAF,2010,
Morocco,MAR,1987,20117.162
Morocco,MAR,2015,63150
Madagascar,MDG,1999,1670
Marshall Islands,MHL,2016,180
North America,NAC,2010,5930460.04334631
Namibia,NAM,2015,4270
Netherlands,NLD,2013,157120
Nepal,NPL,1973,421.705
Nauru,NRU,2020,
Oman,OMN,1985,8661.454
Pakistan,PAK,1991,60310
Panama,PAN,1975,3663.333
Palau,PLW,1967,73.34
Puerto Rico,PRI,2005,
Portugal,PRT,1984,29064.642
French Polynesia,PYF,2012,
Romania,ROU,2012,81730
Somalia,SOM,1987,993.757
Serbia,SRB,1979,
South Sudan,SSD,2017,1520
Sao Tome and Principe,STP,2014,120
Eswatini,SWZ,1991,940
Sint Maarten (Dutch part),SXM,1990,
Sint Maarten (Dutch part),SXM,2013,
Syrian Arab Republic,SYR,1999,39280
Syrian Arab Republic,SYR,2004,44680
East Asia & Pacific (IDA & IBRD countries),TEA,1997,3803720.57197642
Uganda,UGA,1972,1382.459
Ukraine,UKR,1962,
St. Vincent and the Grenadines,VCT,2016,270
"Venezuela, RB",VEN,1983,93101.463
Virgin Islands (U.S.),VIR,1972,
Virgin Islands (U.S.),VIR,1985,
Vanuatu,VUT,1993,60
World,WLD,1980,20396427.1153306
Samoa,WSM,1960,14.668
Kosovo,XKX,1975,
"Yemen, Rep.",YEM,1988,3406.643
"Yemen, Rep.",YEM,1990,6640
Afghanistan,AFG,1989,2775.919
Argentina,ARG,2002,117470
American Samoa,ASM,2005,
Antigua and Barbuda,ATG,1965,150.347
Burundi,BDI,2000,260
Bangladesh,BGD,1962,16105.464
Bangladesh,BGD,1998,19250
Bangladesh,BGD,2007,37990
Bahrain,BHR,2005,20700
Barbados,BRB,1970,429.039
Botswana,BWA,2007,4320
Canada,CAN,1993,422680
Switzerland,CHE,1977,41085.068
Switzerland,CHE,1997,42750
Cameroon,CMR,2017,8320
Caribbean small states,CSS,2004,35260
Czech Republic,CZE,1988,
Early-demographic dividend,EAR,1997,3498888.36528249
Europe & Central Asia,ECS,1975,9176205.30862564
Ecuador,ECU,1979,12167.106
Ethiopia,ETH,1965,645.392
Fiji,FJI,2017,1810
France,FRA,2012,336330
Georgia,GEO,2012,7190
Grenada,GRD,1968,40.337
Greenland,GRL,2018,
Guyana,GUY,1970,1580.477
Honduras,HND,1968,1224.778
Heavily indebted poor countries (HIPC),HPC,1966,29061.9472843933
Haiti,HTI,2003,1810
Iraq,IRQ,1983,38749.189
Israel,ISR,1993,40500
Kazakhstan,KAZ,1964,
Kyrgyz Republic,KGZ,1978,
Cambodia,KHM,1993,1380
St. Kitts and Nevis,KNA,1973,29.336
"Korea, Rep.",KOR,1998,365670
"Korea, Rep.",KOR,2009,525390
Low income,LIC,1973,133523.478903865
Morocco,MAR,1965,4261.054
Moldova,MDA,1969,
Middle East & North Africa,MEA,2008,1972254.23564486
Mexico,MEX,1986,294559.109
Marshall Islands,MHL,2011,140
Middle income,MIC,1979,8612622.56770558
Montenegro,MNE,1979,
Northern Mariana Islands,MNP,1962,
Northern Mariana Islands,MNP,1973,
Northern Mariana Islands,MNP,1983,
Namibia,NAM,1993,1420
Niger,NER,1977,366.7
Niger,NER,2018,2290
Nigeria,NGA,1997,83540
New Zealand,NZL,2018,32210
Oman,OMN,1991,16100
Panama,PAN,2012,10460
Peru,PER,1964,12266.115
Palau,PLW,1965,66.006
Palau,PLW,1968,77.007
Pre-demographic dividend,PRE,1967,59237.0439744325
Pre-demographic dividend,PRE,2005,291494.200808963
Paraguay,PRY,1972,715.065
West Bank and Gaza,PSE,2003,
Post-demographic dividend,PST,2008,12186617.3865295
French Polynesia,PYF,1997,
Rwanda,RWA,1998,480
El Salvador,SLV,1970,1430.13
El Salvador,SLV,1986,1991.181
Somalia,SOM,1977,799.406
Sub-Saharan Africa (excluding high income),SSA,1995,443892.845170135
Eswatini,SWZ,2019,
Chad,TCD,1990,390
Latin America & the Caribbean (IDA & IBRD countries),TLA,2010,1553310
Trinidad and Tobago,TTO,1993,12470
Tunisia,TUN,1968,3597.327
Tuvalu,TUV,1964,
United States,USA,1979,4901796.244
St. Vincent and the Grenadines,VCT,1985,66.006
British Virgin Islands,VGB,1965,7.334
Virgin Islands (U.S.),VIR,2003,
Kosovo,XKX,1978,
Africa Eastern and Southern,AFE,1961,123758.903329795
Africa Eastern and Southern,AFE,2000,358460.646325123
Australia,AUS,2016,383960
Austria,AUT,2000,63530
Burundi,BDI,1989,267.691
Benin,BEN,1979,366.7
Burkina Faso,BFA,2008,1910
Bahrain,BHR,1972,3681.668
Bolivia,BOL,1980,4668.091
Bolivia,BOL,2015,20410
Barbados,BRB,2007,1480
Canada,CAN,1986,405053.153
Switzerland,CHE,1961,20388.52
Channel Islands,CHI,1997,
Cameroon,CMR,2014,7750
Caribbean small states,CSS,1996,30570
Czech Republic,CZE,1969,
Dominican Republic,DOM,2010,20640
Algeria,DZA,2008,103990
East Asia & Pacific,EAS,1973,2521716.7811023
East Asia & Pacific,EAS,1999,6171273.36452768
Europe & Central Asia (excluding high income),ECA,1976,5418208.67199688
Euro area,EMU,1964,
Ethiopia,ETH,2003,5020
Fragile and conflict affected situations,FCS,1967,180108.794842754
Fragile and conflict affected situations,FCS,1997,543706.573585431
Fiji,FJI,2014,1310
"Gambia, The",GMB,2004,320
Equatorial Guinea,GNQ,1960,22.002
Guatemala,GTM,1989,4246.386
Guam,GUM,1963,
High income,HIC,1973,10763972.563538
Croatia,HRV,2019,
Haiti,HTI,1975,484.044
IDA only,IDX,1972,82802.3386735746
Isle of Man,IMN,1964,
Kenya,KEN,1985,3769.676
St. Kitts and Nevis,KNA,1967,22.002
Lebanon,LBN,2002,16840
Low income,LIC,1981,172181.307390151
Low income,LIC,2007,199022.497734821
Liechtenstein,LIE,1961,
Liechtenstein,LIE,1993,210
Luxembourg,LUX,1980,11026.669
Luxembourg,LUX,1981,9427.857
Latvia,LVA,2000,6930
Monaco,MCO,2020,
Mexico,MEX,2019,
Mauritania,MRT,1961,47.671
Mauritania,MRT,1973,469.376
Mauritius,MUS,1990,1160
New Zealand,NZL,1994,24280
OECD members,OED,1981,10742647.8610091
Peru,PER,2007,34110
Philippines,PHL,1975,32526.29
Palau,PLW,1971,165.015
Palau,PLW,1982,157.681
Pre-demographic dividend,PRE,1977,140656.311837153
Paraguay,PRY,2016,7150
West Bank and Gaza,PSE,1987,
French Polynesia,PYF,1969,161.348
Romania,ROU,2014,71410
El Salvador,SLV,1982,1767.494
Somalia,SOM,1962,106.343
Small states,SST,2008,195518.362539839
Suriname,SUR,1966,1096.433
Eswatini,SWZ,1968,278.692
Chad,TCD,2000,510
Ukraine,UKR,2001,300550
Africa Eastern and Southern,AFE,1991,304407.723572644
Arab World,ARB,2000,893140.615190274
Antigua and Barbuda,ATG,1987,275.025
Antigua and Barbuda,ATG,2006,440
Austria,AUT,2004,75800
Belgium,BEL,1968,118557.777
Benin,BEN,2015,5990
Bulgaria,BGR,2020,
Belarus,BLR,1978,
Bolivia,BOL,1997,8280
Bolivia,BOL,2018,22710
Cameroon,CMR,1978,2002.182
"Congo, Rep.",COG,1964,267.691
Comoros,COM,1978,29.336
Dominican Republic,DOM,1984,7444.01
East Asia & Pacific (excluding high income),EAP,2015,11228610.1177171
Europe & Central Asia,ECS,2011,6555060.50829955
Eritrea,ERI,2006,520
Gabon,GAB,1991,4350
United Kingdom,GBR,2014,414850
Gibraltar,GIB,2009,
"Gambia, The",GMB,1973,62.339
Honduras,HND,1974,1558.475
IDA & IBRD total,IBT,2010,18196514.9197533
Ireland,IRL,1985,26725.096
"Korea, Rep.",KOR,2006,486940
St. Lucia,LCA,1995,310
Latin America & Caribbean,LCN,1987,970838.243692753
Latin America & Caribbean,LCN,2017,1713340.03184698
Least developed countries: UN classification,LDC,1986,64521.1127599927
